Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt1213663,2020-08-13,2020-08-13,,"The World's End","The World's End",https://www.imdb.com/title/tt1213663/,Movie,6.9,109,2013,"Action, Comedy, Sci-Fi",311261,2013-08-23,"Edgar Wright",,
2,tt8613070,2021-06-03,2021-06-03,,"Portrait of a Lady on Fire","Portrait de la jeune fille en feu",https://www.imdb.com/title/tt8613070/,Movie,8.0,122,2019,"Drama, Romance",125175,2020-02-14,"Céline Sciamma",,
3,tt0050083,2021-07-13,2021-07-13,,"12 Angry Men","12 Angry Men",https://www.imdb.com/title/tt0050083/,Movie,9.0,96,1957,"Crime, Drama",971538,1957-04-10,"Sidney Lumet",,
4,tt0047478,2021-07-13,2021-07-13,,"Seven Samurai","Shichinin no samurai",https://www.imdb.com/title/tt0047478/,Movie,8.6,207,1954,"Action, Drama",398727,1956-11-19,"Akira Kurosawa",,
5,tt0056058,2021-07-13,2021-07-13,,"Harakiri","Seppuku",https://www.imdb.com/title/tt0056058/,Movie,8.6,133,1962,"Drama, Mystery",89053,1964-08-04,"Masaki Kobayashi",,
6,tt0114814,2021-07-13,2021-07-13,,"The Usual Suspects","The Usual Suspects",https://www.imdb.com/title/tt0114814/,Movie,8.5,106,1995,"Crime, Drama, Mystery, Thriller",1227105,1995-08-16,"Bryan Singer",,
7,tt0034583,2021-07-13,2021-07-13,,"Casablanca","Casablanca",https://www.imdb.com/title/tt0034583/,Movie,8.5,102,1942,"Drama, Romance, War",650646,1943-01-23,"Michael Curtiz",,
8,tt0087843,2021-07-13,2021-07-13,,"Once Upon a Time in America","C'era una volta in America",https://www.imdb.com/title/tt0087843/,Movie,8.3,229,1984,"Crime, Drama",405528,1984-06-01,"Sergio Leone",,
9,tt0089881,2021-07-13,2021-07-13,,"Ran","Ran",https://www.imdb.com/title/tt0089881/,Movie,8.2,160,1985,"Action, Drama, War",150079,1985-06-01,"Akira Kurosawa",,
10,tt0055630,2021-07-13,2021-07-13,,"Yojimbo","Yôjinbô",https://www.imdb.com/title/tt0055630/,Movie,8.2,110,1961,"Action, Drama, Thriller",141824,1961-09-13,"Akira Kurosawa",,
11,tt0042876,2021-07-13,2021-07-13,,"Rashomon","Rashômon",https://www.imdb.com/title/tt0042876/,Movie,8.1,88,1950,"Crime, Drama, Mystery",194847,1951-12-26,"Akira Kurosawa",,
12,tt11003218,2021-08-08,2021-08-08,,"Pig","Pig",https://www.imdb.com/title/tt11003218/,Movie,6.9,92,2021,"Drama, Mystery",103417,2021-07-16,"Michael Sarnoski",,
13,tt10954652,2021-08-08,2021-08-08,,"Old","Old",https://www.imdb.com/title/tt10954652/,Movie,5.8,108,2021,"Drama, Mystery, Thriller",181786,2021-07-23,"M. Night Shyamalan",,
14,tt0083658,2021-08-08,2021-08-08,,"Blade Runner","Blade Runner",https://www.imdb.com/title/tt0083658/,Movie,8.1,117,1982,"Action, Drama, Sci-Fi, Thriller",874716,1982-06-25,"Ridley Scott",,
15,tt1924245,2021-11-02,2021-11-02,,"Cry Macho","Cry Macho",https://www.imdb.com/title/tt1924245/,Movie,5.7,104,2021,"Drama",36264,2021-09-17,"Clint Eastwood",,
16,tt0087182,2021-11-25,2021-11-25,,"Dune","Dune",https://www.imdb.com/title/tt0087182/,Movie,6.2,137,1984,"Action, Adventure, Sci-Fi",191529,1984-12-14,"David Lynch",,
